Country,State/Province/Department,Zone/Region/Provincia,City/Canton/District/Municipality/Woreda/Municipio/Commune,Area/Towns/Village/Sector/Colonia/Kebele,Farm/Fazenda/MicroMill/CWS,1
Ethiopia,SNNPR,Gedeo,Yirgacheffe,Gersi,,
Ethiopia,SNNPR,Gedeo,Yirgacheffe,Konga,,
Ethiopia,SNNPR,Gedeo,Yirgacheffe,Alicha,,
Ethiopia,Oromia,West Guji,Abaya,,,
Ethiopia,Oromia,West Guji,Gelana,,,
Ethiopia,Oromia,West Guji,Bule Hora,,,
Ethiopia,Oromia,West Guji,Kercha,,,
Ethiopia,Oromia,West Guji,Hambela Wamena,Alaka Korchena,,
Ethiopia,Oromia,West Guji,Hambela Wamena,Buku Sayisa,,
Ethiopia,Oromia,West Guji,Birbirsa Kojowa,,,
Ethiopia,Oromia,Guji,Adola,,,
Ethiopia,Oromia,Guji,Adola Town,,,
Ethiopia,Oromia,Guji,Ana Sora,,,
Ethiopia,Oromia,Guji,Bore,,,
Ethiopia,Oromia,Guji,Dima,,,
Ethiopia,Oromia,Guji,Girja,,,
Ethiopia,Oromia,Guji,Harenfema/Harenfama,,,
Ethiopia,Oromia,Guji,Liben,,,
Ethiopia,Oromia,Guji,Negele Town,,,
Ethiopia,Oromia,Guji,Odo Shakiso,,,
Ethiopia,Oromia,Guji,Uraga,,,
Ethiopia,Oromia,Guji,Wadera,,,
Guatemala,Huehuetenango,,Cuilco,,,
Guatemala,Huehuetenango,,Huehuetenango,,,
Guatemala,Huehuetenango,,Isnul,,,
Guatemala,Huehuetenango,,Agua Dulce,,,
Guatemala,Huehuetenango,,La Esperanza,,,
Guatemala,Huehuetenango,,Hoja Blanca,,,
Guatemala,Huehuetenango,,La Libertad,,,
Guatemala,Huehuetenango,,San Pedro Necta,,,
Guatemala,Huehuetenango,,La Democracia,,,
Guatemala,Huehuetenango,,Union Cantinil,,,
Guatemala,Jalapa,,Mataquescuintla,,,
Guatemala,Jalapa,,Monjas,,,
Guatemala,Jalapa,,Morales,,,
Guatemala,Jalapa,,Village El Pinal Monjas,,,
Guatemala,Guatemala,,Palencia,,,
Guatemala,San Marcos,,San Rafael Pie de la Cuesta,,,
Guatemala,Santa Rosa,,Casillas,,,
Guatemala,Santa Rosa,,Santa Rosa de Lima,,,
Guatemala,Santa Rosa,,Aldea Belen,,,
